Date,Open,High,Low,Close,Adj Close,Volume
2007-08-29,169.669998,169.669998,169.050003,169.050003,169.050003,0
2007-08-30,169.050003,169.050003,168.809998,168.809998,168.809998,0
2007-08-31,168.809998,169.470001,168.809998,169.470001,169.470001,0
2007-09-03,168.960007,168.960007,168.960007,168.960007,168.960007,0
2007-09-04,168.960007,168.960007,168.229996,168.229996,168.229996,0
2007-09-05,168.229996,168.440002,168.229996,168.440002,168.440002,0
2007-09-06,168.440002,169.250000,168.440002,169.250000,169.250000,0
2007-09-07,169.250000,169.589996,169.250000,169.589996,169.589996,0
2007-09-10,null,null,null,null,null,null
2007-09-11,170.800003,171.270004,170.800003,171.270004,171.270004,0
2007-09-12,171.270004,171.270004,171.270004,171.889999,171.889999,0
2007-09-13,171.889999,171.960007,171.889999,171.960007,171.960007,0
2007-09-14,171.960007,171.960007,171.820007,171.820007,171.820007,0
2007-09-17,171.860001,171.860001,171.860001,171.860001,171.860001,0
2007-09-18,171.860001,171.860001,171.229996,171.229996,171.229996,0
2007-09-19,171.229996,172.339996,171.229996,172.339996,172.339996,0
2007-09-20,172.339996,173.169998,172.339996,173.169998,173.169998,0
2007-09-21,173.169998,173.369995,173.169998,173.369995,173.369995,0
2007-09-24,174.009995,174.009995,174.009995,174.009995,174.009995,0
2007-09-25,174.009995,174.009995,173.710007,173.710007,173.710007,0
2007-09-26,173.710007,174.190002,173.710007,174.190002,174.190002,0
2007-09-27,174.190002,174.199997,174.190002,174.199997,174.199997,0
2007-09-28,174.199997,174.449997,174.199997,174.449997,174.449997,0
2007-10-01,175.000000,175.000000,175.000000,175.000000,175.000000,0
2007-10-02,175.000000,175.000000,174.039993,174.039993,174.039993,0
2007-10-03,174.039993,174.039993,174.039993,174.039993,174.039993,0
2007-10-04,174.039993,174.039993,172.850006,172.850006,172.850006,0
2007-10-05,172.850006,172.990005,172.850006,172.990005,172.990005,0
2007-10-08,172.720001,172.720001,172.720001,172.720001,172.720001,0
2007-10-09,172.720001,172.720001,172.110001,172.110001,172.110001,0
2007-10-10,172.110001,173.389999,172.110001,173.389999,173.389999,0
2007-10-11,173.389999,174.160004,173.389999,174.160004,174.160004,0
2007-10-12,174.160004,174.160004,173.779999,173.779999,173.779999,0
2007-10-15,174.410004,174.410004,174.410004,174.410004,174.410004,0
2007-10-16,174.410004,174.410004,173.259995,173.259995,173.259995,0
2007-10-17,173.259995,173.259995,173.190002,173.190002,173.190002,0
2007-10-18,173.190002,174.300003,173.190002,174.300003,174.300003,0
2007-10-19,174.300003,174.300003,172.720001,172.720001,172.720001,0
2007-10-22,171.199997,171.199997,171.199997,171.199997,171.199997,0
2007-10-23,171.199997,171.199997,170.050003,170.050003,170.050003,0
2007-10-24,170.050003,170.050003,170.000000,170.000000,170.000000,0
2007-10-25,170.000000,171.169998,170.000000,171.169998,171.169998,0
2007-10-26,171.169998,171.169998,170.570007,170.570007,170.570007,0
2007-10-29,171.860001,171.860001,171.860001,171.860001,171.860001,0
2007-10-30,171.860001,171.860001,171.360001,171.360001,171.360001,0
2007-10-31,171.360001,172.179993,171.360001,172.179993,172.179993,0
2007-11-01,172.179993,172.179993,172.050003,172.050003,172.050003,0
2007-11-02,172.050003,172.720001,172.050003,172.720001,172.720001,0
2007-11-05,172.110001,172.110001,172.110001,172.110001,172.110001,0
2007-11-06,172.110001,172.110001,172.059998,172.059998,172.059998,0
2007-11-07,172.059998,172.440002,172.059998,172.440002,172.440002,0
2007-11-08,172.440002,172.550003,172.440002,172.550003,172.550003,0
2007-11-09,172.550003,172.550003,171.350006,171.350006,171.350006,0
2007-11-12,170.529999,170.529999,170.529999,170.529999,170.529999,0
2007-11-13,170.529999,170.979996,170.529999,170.979996,170.979996,0
2007-11-14,170.979996,172.119995,170.979996,172.119995,172.119995,0
2007-11-15,172.119995,172.119995,171.410004,171.410004,171.410004,0
2007-11-16,171.410004,171.410004,171.160004,171.160004,171.160004,0
2007-11-19,171.490005,171.490005,171.490005,171.490005,171.490005,0
2007-11-20,171.490005,173.169998,171.490005,173.169998,173.169998,0
2007-11-21,173.169998,173.169998,173.130005,173.130005,173.130005,0
2007-11-22,173.130005,173.410004,173.130005,173.410004,173.410004,0
2007-11-23,173.410004,173.410004,173.279999,173.279999,173.279999,0
2007-11-26,null,null,null,null,null,null
2007-11-27,173.479996,173.529999,173.479996,173.529999,173.529999,0
2007-11-28,173.529999,173.529999,172.130005,172.130005,172.130005,0
2007-11-29,172.130005,172.199997,172.130005,172.199997,172.199997,0
2007-11-30,172.199997,172.490005,172.199997,172.490005,172.490005,0
2007-12-03,170.860001,170.860001,170.860001,170.860001,170.860001,0
2007-12-04,170.860001,171.770004,170.860001,171.770004,171.770004,0
2007-12-05,171.770004,171.770004,171.750000,171.750000,171.750000,0
2007-12-06,171.750000,171.750000,169.960007,169.960007,169.960007,0
2007-12-07,169.960007,169.960007,169.960007,169.860001,169.860001,0
